Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.6,15.8,17.6,15.8 - 17.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,High school diploma or GED or lower,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.5,14.4,18.7,14.4 - 18.7,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Some college/Associate's degree,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.2,14.7,17.8,14.7 - 17.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Bachelor's degree or higher,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.2,16.2,18.3,16.2 - 18.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,Hispanic or Latino,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,19.6,16.5,23.0,16.5 - 23.0,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic White, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.8,14.7,16.9,14.7 - 16.9,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Black, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.9,12.9,21.4,12.9 - 21.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Asian, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.6,12.8,18.8,12.8 - 18.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic, other races and multiple races",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.1,10.5,23.1,10.5 - 23.1,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,Yes,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,18.6,10.7,28.9,10.7 - 28.9,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,No,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.6,15.7,17.5,15.7 - 17.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Private only,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.4,15.3,17.6,15.3 - 17.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Any public,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.8,15.7,20.1,15.7 - 20.1,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,No insurance,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.4,11.8,19.6,11.8 - 19.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"Less than $25,000",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.4,13.5,19.7,13.5 - 19.7,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$25,000 - $34,999",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,20.4,16.5,24.8,16.5 - 24.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$35,000 - $49,999",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.2,11.5,19.5,11.5 - 19.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$50,000 - $74,999",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,18.1,15.2,21.2,15.2 - 21.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$75,000 - $99,999",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,14.8,12.2,17.6,12.2 - 17.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$100,000 - $149,999",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,12.8,11.4,14.2,11.4 - 14.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$150,000 - $199,999",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.4,14.3,20.8,14.3 - 20.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$200,000 and above",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,20.7,17.1,24.6,17.1 - 24.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,Did not report,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.5,13.6,19.8,13.6 - 19.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alabama,Alabama,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,13.6,8.2,20.7,8.2 - 20.7,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alaska,Alaska,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.2,13.2,21.9,13.2 - 21.9,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arizona,Arizona,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,13.1,9.4,17.7,9.4 - 17.7,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arkansas,Arkansas,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,13.2,8.4,19.3,8.4 - 19.3,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,California,California,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,22.9,18.8,27.4,18.8 - 27.4,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Colorado,Colorado,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.0,11.5,21.4,11.5 - 21.4,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,10.1,5.8,16.1,5.8 - 16.1,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Delaware,Delaware,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,24.2,16.5,33.3,16.5 - 33.3,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,18.2,11.4,26.9,11.4 - 26.9,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Florida,Florida,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.8,19.1,33.3,19.1 - 33.3,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Georgia,Georgia,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.8,11.5,23.3,11.5 - 23.3,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Hawaii,Hawaii,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.8,11.2,21.5,11.2 - 21.5,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Idaho,Idaho,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.2,11.1,24.7,11.1 - 24.7,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Illinois,Illinois,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.3,10.0,22.1,10.0 - 22.1,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Indiana,Indiana,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,20.1,14.5,26.8,14.5 - 26.8,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Iowa,Iowa,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.0,10.7,22.6,10.7 - 22.6,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kansas,Kansas,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,12.0,8.2,16.9,8.2 - 16.9,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,13.9,7.6,22.6,7.6 - 22.6,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,8.0,4.1,13.8,4.1 - 13.8,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maine,Maine,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.2,8.3,27.3,8.3 - 27.3,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maryland,Maryland,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.8,13.6,22.5,13.6 - 22.5,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,20.4,15.1,26.6,15.1 - 26.6,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Michigan,Michigan,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,11.0,7.9,14.7,7.9 - 14.7,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Minnesota,Minnesota,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,13.3,9.7,17.5,9.7 - 17.5,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,9.7,4.9,16.7,4.9 - 16.7,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Missouri,Missouri,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,10.4,7.1,14.6,7.1 - 14.6,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Montana,Montana,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,,,,,Estimate not reliable.,1.0
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nebraska,Nebraska,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,9.9,5.4,16.1,5.4 - 16.1,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nevada,Nevada,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.8,10.6,22.3,10.6 - 22.3,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.1,9.9,26.7,9.9 - 26.7,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.7,11.2,21.2,11.2 - 21.2,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.8,12.4,24.3,12.4 - 24.3,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New York,New York,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.2,11.1,24.9,11.1 - 24.9,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Carolina,North Carolina,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,14.0,10.0,18.9,10.0 - 18.9,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Dakota,North Dakota,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,13.8,6.7,24.0,6.7 - 24.0,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Ohio,Ohio,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,13.0,7.8,20.0,7.8 - 20.0,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,19.1,13.2,26.2,13.2 - 26.2,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oregon,Oregon,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.3,11.6,19.6,11.6 - 19.6,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.6,11.3,23.1,11.3 - 23.1,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.7,9.3,24.1,9.3 - 24.1,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,10.8,6.7,16.3,6.7 - 16.3,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,12.4,6.3,21.3,6.3 - 21.3,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.0,9.8,21.6,9.8 - 21.6,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Texas,Texas,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.8,12.3,19.9,12.3 - 19.9,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Utah,Utah,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,11.1,8.2,14.6,8.2 - 14.6,8.0-13.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Vermont,Vermont,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.0,9.6,24.3,9.6 - 24.3,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Virginia,Virginia,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.8,12.6,21.6,12.6 - 21.6,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Washington,Washington,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,18.2,14.6,22.3,14.6 - 22.3,17.3-25.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,West Virginia,West Virginia,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.7,10.8,24.2,10.8 - 24.2,15.9-17.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.4,10.1,22.1,10.1 - 22.1,13.2-15.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,11.6,6.3,19.3,6.3 - 19.3,8.0-13.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.6,19.9,21.4,19.9 - 21.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,18 - 29 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,16.5,14.1,19.0,14.1 - 19.0,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,30 - 39 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.4,18.0,20.9,18.0 - 20.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,40 - 49 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.9,19.5,22.3,19.5 - 22.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,50 - 59 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.8,21.5,24.1,21.5 - 24.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,60 - 69 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.9,19.6,22.2,19.6 - 22.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,70 - 79 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.0,20.4,23.8,20.4 - 23.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,80 years and above,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,28.1,23.8,32.8,23.8 - 32.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Male,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.6,17.4,19.9,17.4 - 19.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Female,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.5,21.5,23.5,21.5 - 23.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Gender identity,United States,Cis-gender male,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.7,17.5,20.0,17.5 - 20.0,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Gender identity,United States,Cis-gender female,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.4,21.4,23.5,21.4 - 23.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Gender identity,United States,Transgender,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.3,17.9,33.9,17.9 - 33.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sexual orientation,United States,Gay or lesbian,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,24.3,20.1,28.8,20.1 - 28.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sexual orientation,United States,Straight,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.0,19.3,20.6,19.3 - 20.6,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sexual orientation,United States,Bisexual,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.5,19.0,26.3,19.0 - 26.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.9,20.5,25.5,20.5 - 25.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.1,18.3,19.8,18.3 - 19.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.2,22.7,27.7,22.7 - 27.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.7,16.1,21.5,16.1 - 21.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,28.1,24.2,32.1,24.2 - 32.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,27.2,23.3,31.4,23.3 - 31.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,High school diploma or GED,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.6,16.1,19.3,16.1 - 19.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.5,20.4,22.6,20.4 - 22.6,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.1,20.3,21.9,20.3 - 21.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,With disability,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,31.7,29.6,33.8,29.6 - 33.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,Without disability,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.7,17.9,19.4,17.9 - 19.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alabama,Alabama,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.5,16.0,25.7,16.0 - 25.7,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alaska,Alaska,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.8,18.3,27.8,18.3 - 27.8,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arizona,Arizona,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.8,21.2,30.9,21.2 - 30.9,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arkansas,Arkansas,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.6,15.0,24.8,15.0 - 24.8,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,California,California,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,29.1,26.0,32.4,26.0 - 32.4,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Colorado,Colorado,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.7,12.9,18.9,12.9 - 18.9,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.6,18.0,25.7,18.0 - 25.7,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Delaware,Delaware,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.7,14.9,23.0,14.9 - 23.0,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,24.9,18.2,32.6,18.2 - 32.6,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Florida,Florida,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,24.1,21.5,26.8,21.5 - 26.8,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Georgia,Georgia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.3,16.0,25.1,16.0 - 25.1,18.7-22.7,
